tokenID,token_name,display_name,blockchain,address,audit,dextoolslink,tokensnifferlink,img_path
71,finxflo,Finxflo,ethereum,0x8a40c222996f9f3431f63bf80244c36822060f12,8/10,https://www.dextools.io/app/ether/pair-explorer/0x8a40c222996f9f3431f63bf80244c36822060f12,https://tokensniffer.com/token/0x8a40c222996f9f3431f63bf80244c36822060f12,https://s2.coinmarketcap.com/static/img/coins/64x64/8416.png
72,cwv-chain,CWV Chain,ethereum,0xed494c9e2f8e34e53bdd0ea9b4d80305cb15c5c2,3.5/10,https://www.dextools.io/app/ether/pair-explorer/0xed494c9e2f8e34e53bdd0ea9b4d80305cb15c5c2,https://tokensniffer.com/token/0xed494c9e2f8e34e53bdd0ea9b4d80305cb15c5c2,https://s2.coinmarketcap.com/static/img/coins/64x64/3609.png
73,kattana,Kattana,ethereum,0x491e136ff7ff03e6ab097e54734697bb5802fc1c,10/10,https://www.dextools.io/app/ether/pair-explorer/0x491e136ff7ff03e6ab097e54734697bb5802fc1c,https://tokensniffer.com/token/0x491e136ff7ff03e6ab097e54734697bb5802fc1c,https://s2.coinmarketcap.com/static/img/coins/64x64/9110.png
74,konomi-network,Konomi Network,ethereum,0x850aAB69f0e0171A9a49dB8BE3E71351c8247Df4,7/10,https://www.dextools.io/app/ether/pair-explorer/0x850aAB69f0e0171A9a49dB8BE3E71351c8247Df4,https://tokensniffer.com/token/0x850aAB69f0e0171A9a49dB8BE3E71351c8247Df4,https://s2.coinmarketcap.com/static/img/coins/64x64/8697.png
75,sylo,Sylo,ethereum,0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4,7.5/10,https://www.dextools.io/app/ether/pair-explorer/0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4,https://tokensniffer.com/token/0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4,https://s2.coinmarketcap.com/static/img/coins/64x64/5662.png
76,baasid,BaaSid,ethereum,0x5d929AA919E489505CcAAd8A199619c6DCA0c2de,3.5/10,https://www.dextools.io/app/ether/pair-explorer/0x5d929AA919E489505CcAAd8A199619c6DCA0c2de,https://tokensniffer.com/token/0x5d929AA919E489505CcAAd8A199619c6DCA0c2de,https://s2.coinmarketcap.com/static/img/coins/64x64/3142.png
77,phantasma-energy,Phantasma Energy,ethereum,0x14eb60f5f270b059b0c788de0ddc51da86f8a06d,8.5/10,https://www.dextools.io/app/ether/pair-explorer/0x14eb60f5f270b059b0c788de0ddc51da86f8a06d,https://tokensniffer.com/token/0x14eb60f5f270b059b0c788de0ddc51da86f8a06d,https://s2.coinmarketcap.com/static/img/coins/64x64/7298.png
78,bao-finance,Bao Finance,ethereum,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,5.5/10,https://www.dextools.io/app/ether/pair-explorer/0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,https://tokensniffer.com/token/0x374cb8c27130e2c9e04f44303f3c8351b9de61c1,https://s2.coinmarketcap.com/static/img/coins/64x64/8168.png
79,sparkpoint,SparkPoint,ethereum,0x0488401c3f535193fa8df029d9ffe615a06e74e6,8/10,https://www.dextools.io/app/ether/pair-explorer/0x0488401c3f535193fa8df029d9ffe615a06e74e6,https://tokensniffer.com/token/0x0488401c3f535193fa8df029d9ffe615a06e74e6,https://s2.coinmarketcap.com/static/img/coins/64x64/3935.png
80,smartofgiving,smARTOFGIVING,ethereum,0x8578530205cecbe5db83f7f29ecfeec860c297c2,7.5/10,https://www.dextools.io/app/ether/pair-explorer/0x8578530205cecbe5db83f7f29ecfeec860c297c2,https://tokensniffer.com/token/0x8578530205cecbe5db83f7f29ecfeec860c297c2,https://s2.coinmarketcap.com/static/img/coins/64x64/3316.png
81,dogs-of-elon,Dogs Of Elon,ethereum,0xf8e9f10c22840b613cda05a0c5fdb59a4d6cd7ef,9.5/10,https://www.dextools.io/app/ether/pair-explorer/0xf8e9f10c22840b613cda05a0c5fdb59a4d6cd7ef,https://tokensniffer.com/token/0xf8e9f10c22840b613cda05a0c5fdb59a4d6cd7ef,https://s2.coinmarketcap.com/static/img/coins/64x64/12800.png
82,tokenomy,Tokenomy,ethereum,0xdd16ec0f66e54d453e6756713e533355989040e4,6.0/10,https://www.dextools.io/app/ether/pair-explorer/0xdd16ec0f66e54d453e6756713e533355989040e4,https://tokensniffer.com/token/0xdd16ec0f66e54d453e6756713e533355989040e4,https://s2.coinmarketcap.com/static/img/coins/64x64/2576.png
